text,sentiment
"Great, very satisfied",2
"Awful, never buying again",0
Horrible,0
Amazing quality,2
Excellent service,2
Fantastic,2
Wonderful,2
"Terrible, would not recommend",0
Could be better,1
Could be better,1
This is the worst experience,0
Could be better,1
Bad experience,0
This is the worst experience,0
Excellent service,2
Amazing quality,2
Wonderful,2
Pretty decent,1
Pretty decent,1
"Great, very satisfied",2
"Awful, never buying again",0
"Awful, never buying again",0
Fantastic,2
"Terrible, would not recommend",0
Bad experience,0
Could be better,1
Pretty decent,1
Pretty decent,1
Could be better,1
"Great, very satisfied",2
"Great, very satisfied",2
"Awful, never buying again",0
Pretty decent,1
Could be better,1
Could be better,1
Could be better,1
Could be better,1
Pretty decent,1
Amazing quality,2
Could be better,1
Could be better,1
Could be better,1
Pretty decent,1
Wonderful,2
"Great, very satisfied",2
Not good,0
Horrible,0
Pretty decent,1
"Terrible, would not recommend",0
Bad experience,0
This is the worst experience,0
Horrible,0
This is the worst experience,0
I love this product,2
Bad experience,0
Excellent service,2
I love this product,2
Excellent service,2
"Awful, never buying again",0
"Terrible, would not recommend",0
Amazing quality,2
Bad experience,0
I love this product,2
Pretty decent,1
Wonderful,2
"Awful, never buying again",0
Pretty decent,1
I love this product,2
Fantastic,2
Wonderful,2
I love this product,2
"Terrible, would not recommend",0
Wonderful,2
Excellent service,2
"Terrible, would not recommend",0
Could be better,1
"Awful, never buying again",0
I love this product,2
Bad experience,0
Pretty decent,1
Fantastic,2
Excellent service,2
Bad experience,0
"Awful, never buying again",0
Wonderful,2
Could be better,1
Not good,0
Horrible,0
Could be better,1
Could be better,1
Amazing quality,2
"Great, very satisfied",2
Not good,0
This is the worst experience,0
"Awful, never buying again",0
Pretty decent,1
This is the worst experience,0
Wonderful,2
I love this product,2
Pretty decent,1
"Awful, never buying again",0
Could be better,1
Excellent service,2
Could be better,1
Bad experience,0
Not good,0
"Terrible, would not recommend",0
Pretty decent,1
Pretty decent,1
Horrible,0
This is the worst experience,0
I love this product,2
Could be better,1
Pretty decent,1
This is the worst experience,0
"Awful, never buying again",0
Could be better,1
Bad experience,0
Could be better,1
Could be better,1
"Great, very satisfied",2
Excellent service,2
I love this product,2
Wonderful,2
Bad experience,0
Could be better,1
Pretty decent,1
I love this product,2
Bad experience,0
Wonderful,2
"Awful, never buying again",0
"Great, very satisfied",2
Amazing quality,2
Excellent service,2
"Great, very satisfied",2
This is the worst experience,0
Amazing quality,2
"Awful, never buying again",0
This is the worst experience,0
Pretty decent,1
Wonderful,2
Pretty decent,1
"Great, very satisfied",2
Could be better,1
Bad experience,0
"Terrible, would not recommend",0
Not good,0
Horrible,0
I love this product,2
"Awful, never buying again",0
Excellent service,2
Could be better,1
Bad experience,0
I love this product,2
Could be better,1
Pretty decent,1
Pretty decent,1
I love this product,2
"Terrible, would not recommend",0
Could be better,1
Could be better,1
Fantastic,2
Bad experience,0
Bad experience,0
Not good,0
Bad experience,0
Excellent service,2
This is the worst experience,0
Excellent service,2
Pretty decent,1
Could be better,1
Could be better,1
Pretty decent,1
Wonderful,2
Excellent service,2
Pretty decent,1
Pretty decent,1
I love this product,2
Bad experience,0
"Awful, never buying again",0
I love this product,2
Bad experience,0
Pretty decent,1
Pretty decent,1
Pretty decent,1
Horrible,0
This is the worst experience,0
Pretty decent,1
Excellent service,2
Bad experience,0
Fantastic,2
This is the worst experience,0
Amazing quality,2
"Terrible, would not recommend",0
Wonderful,2
Pretty decent,1
Could be better,1
Could be better,1
Wonderful,2
Amazing quality,2
Excellent service,2
Could be better,1
Pretty decent,1
This is the worst experience,0
Wonderful,2
Fantastic,2
Pretty decent,1
Pretty decent,1
Pretty decent,1
Bad experience,0
Pretty decent,1
Bad experience,0
Bad experience,0
Not good,0
Could be better,1
"Great, very satisfied",2
Could be better,1
Wonderful,2
I love this product,2
Pretty decent,1
Pretty decent,1
Could be better,1
Could be better,1
Bad experience,0
Could be better,1
Wonderful,2
"Great, very satisfied",2
This is the worst experience,0
Bad experience,0
Bad experience,0
Pretty decent,1
Pretty decent,1
"Great, very satisfied",2
"Terrible, would not recommend",0
Could be better,1
I love this product,2
Excellent service,2
Pretty decent,1
Pretty decent,1
Pretty decent,1
Pretty decent,1
I love this product,2
This is the worst experience,0
Could be better,1
"Terrible, would not recommend",0
Could be better,1
Horrible,0
This is the worst experience,0
Horrible,0
Pretty decent,1
Excellent service,2
Could be better,1
Fantastic,2
Pretty decent,1
Not good,0
This is the worst experience,0
Could be better,1
Could be better,1
Bad experience,0
Could be better,1
Bad experience,0
Not good,0
Pretty decent,1
Amazing quality,2
Could be better,1
Bad experience,0
Could be better,1
Amazing quality,2
Pretty decent,1
Could be better,1
Horrible,0
Bad experience,0
Amazing quality,2
Bad experience,0
"Great, very satisfied",2
Pretty decent,1
This is the worst experience,0
"Awful, never buying again",0
Fantastic,2
I love this product,2
"Terrible, would not recommend",0
"Great, very satisfied",2
Horrible,0
Wonderful,2
Pretty decent,1
Amazing quality,2
I love this product,2
Could be better,1
"Terrible, would not recommend",0
Could be better,1
Could be better,1
I love this product,2
"Great, very satisfied",2
Pretty decent,1
Pretty decent,1
Fantastic,2
Horrible,0
This is the worst experience,0
Pretty decent,1
"Awful, never buying again",0
"Awful, never buying again",0
Pretty decent,1
Wonderful,2
Bad experience,0
Horrible,0
I love this product,2
I love this product,2
Pretty decent,1
Not good,0
Not good,0
"Awful, never buying again",0
I love this product,2
This is the worst experience,0
"Great, very satisfied",2
Bad experience,0
Pretty decent,1
Amazing quality,2
Fantastic,2
"Awful, never buying again",0
Bad experience,0
Fantastic,2
This is the worst experience,0
Fantastic,2
"Terrible, would not recommend",0
Pretty decent,1
Pretty decent,1
Pretty decent,1
Fantastic,2
Excellent service,2
Pretty decent,1
"Terrible, would not recommend",0
Could be better,1
Horrible,0
Pretty decent,1
Pretty decent,1
Pretty decent,1
Pretty decent,1
Could be better,1
Horrible,0
Not good,0
Fantastic,2
Not good,0
This is the worst experience,0
Bad experience,0
Could be better,1
Excellent service,2
Bad experience,0
Pretty decent,1
Amazing quality,2
Pretty decent,1
Wonderful,2
Fantastic,2
"Terrible, would not recommend",0
Could be better,1
This is the worst experience,0
I love this product,2
Fantastic,2
Pretty decent,1
"Great, very satisfied",2
This is the worst experience,0
Not good,0
Not good,0
Could be better,1
Horrible,0
Horrible,0
Pretty decent,1
"Great, very satisfied",2
Bad experience,0
Excellent service,2
"Terrible, would not recommend",0
I love this product,2
Not good,0
I love this product,2
Not good,0
Pretty decent,1
I love this product,2
"Great, very satisfied",2
Could be better,1
Could be better,1
"Terrible, would not recommend",0
Could be better,1
Could be better,1
Could be better,1
This is the worst experience,0
Wonderful,2
I love this product,2
This is the worst experience,0
Bad experience,0
Bad experience,0
Horrible,0
Pretty decent,1
Not good,0
Pretty decent,1
This is the worst experience,0
Could be better,1
Could be better,1
Fantastic,2
This is the worst experience,0
Pretty decent,1
Could be better,1
I love this product,2
Fantastic,2
Pretty decent,1
Not good,0
Excellent service,2
Horrible,0
"Terrible, would not recommend",0
"Awful, never buying again",0
I love this product,2
Not good,0
Horrible,0
Fantastic,2
Pretty decent,1
Horrible,0
Horrible,0
Could be better,1
I love this product,2
Not good,0
Not good,0
"Awful, never buying again",0
Horrible,0
Pretty decent,1
"Terrible, would not recommend",0
Amazing quality,2
Could be better,1
